Class Name, Desire to Take, Understanding, Workload, A+, A, A-, B+, B, B-, C+, C, C-, D+, D, D-, E 
PEDDENT 591,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PEDDENT 592,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PEDDENT 598,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PEDDENT 599,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PERIODON 780,,,,<1%,14%,36%,32%,13%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%
PERIODON 782,,,,<1%,18%,40%,27%,9%,4%,2%,1%,<1%,<1%,<1%,<1%,<1%
PERIODON 786,,,,2%,55%,24%,8%,4%,2%,4%,3%,<1%,<1%,<1%,<1%,<1%
PERIODON 787,,,,18%,67%,<1%,15%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PERIODON 788,,,,<1%,10%,26%,29%,21%,9%,2%,2%,1%,<1%,1%,<1%,<1%
PERIODON 789,,,,1%,16%,31%,27%,16%,7%,2%,<1%,1%,<1%,<1%,<1%,<1%
PERIODON 793,,,,2%,14%,41%,27%,11%,2%,2%,1%,<1%,<1%,<1%,<1%,<1%
PERIODON 794,,,,2%,13%,31%,30%,13%,8%,2%,2%,<1%,<1%,<1%,<1%,<1%
PROSTHOD 583,,,,,,,,,,,,,,,,
PROSTHOD 634,,,,,,,,,,,,,,,,
PROSTHOD 638,,,,<1%,44%,21%,16%,19%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PROSTHOD 640,,,,<1%,39%,16%,26%,16%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PROSTHOD 643,,,,5%,66%,21%,6%,1%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
PROSTHOD 646,,,,,,,,,,,,,,,,
PROSTHOD 650,,,,2%,98%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PROSTHOD 739,,,,<1%,58%,25%,14%,<1%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PROSTHOD 800,,,,,,,,,,,,,,,,
PROSTHOD 876,,,,<1%,48%,24%,20%,<1%,<1%,4%,<1%,4%,<1%,<1%,<1%,<1%
RESTORA 570,,,,,,,,,,,,,,,,
RESTORA 575,,,,,,,,,,,,,,,,
RESTORA 619,,,,,,,,,,,,,,,,
RESTORA 656,,,,,,,,,,,,,,,,
RESTORA 680,,,,,,,,,,,,,,,,
RESTORA 690,,,,,,,,,,,,,,,,
RESTORA 695,,,,,,,,,,,,,,,,
RESTORA 719,,,,,,,,,,,,,,,,
RESTORA 741,,,,,,,,,,,,,,,,
RESTORA 742,,,,6%,19%,27%,28%,18%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RESTORA 746,,,,,,,,,,,,,,,,
RESTORA 747,,,,20%,20%,33%,10%,13%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RESTORA 883,,,,,,,,,,,,,,,,
EDBEHAVR 800,80%,100%,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 118,86%,96%,33%,22%,40%,25%,7%,3%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
EDUC 200,,,,,,,,,,,,,,,,
EDUC 210,,,,<1%,94%,2%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 212,92%,74%,6%,12%,64%,7%,5%,6%,2%,1%,2%,1%,<1%,1%,<1%,<1%
EDUC 240,,,,,,,,,,,,,,,,
EDUC 301,99%,100%,27%,,,,,,,,,,,,,
EDUC 303,94%,100%,14%,1%,90%,4%,2%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 307,87%,94%,14%,,,,,,,,,,,,,
EDUC 330,,,,,,,,,,,,,,,,
EDUC 333,86%,81%,34%,20%,52%,13%,6%,3%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 360,95%,100%,18%,50%,33%,7%,2%,4%,2%,<1%,1%,<1%,1%,<1%,1%,1%
EDUC 362,82%,86%,13%,22%,35%,14%,10%,8%,4%,3%,2%,<1%,<1%,<1%,<1%,2%
EDUC 365,82%,100%,15%,<1%,79%,9%,3%,3%,2%,<1%,3%,<1%,<1%,<1%,<1%,<1%
EDUC 390,91%,100%,17%,20%,69%,7%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 391,65%,76%,15%,19%,51%,15%,7%,4%,2%,1%,1%,<1%,<1%,<1%,<1%,<1%
EDUC 392,61%,87%,33%,8%,72%,14%,3%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 401,80%,88%,60%,2%,71%,19%,4%,1%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
EDUC 402,52%,69%,16%,6%,69%,18%,3%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 403,84%,94%,17%,3%,76%,17%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 411,59%,81%,30%,<1%,72%,17%,7%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 412,,,,,,,,,,,,,,,,
EDUC 413,79%,73%,28%,7%,46%,35%,4%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 414,82%,86%,5%,5%,85%,7%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 415,71%,88%,12%,1%,94%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 416,69%,97%,5%,4%,86%,7%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 420,96%,100%,88%,20%,35%,18%,10%,6%,10%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 421,63%,73%,55%,1%,84%,11%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 422,89%,43%,48%,<1%,70%,26%,3%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 427,75%,100%,2%,40%,57%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 431,74%,95%,29%,4%,64%,23%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 432,81%,97%,43%,7%,42%,35%,7%,8%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 440,83%,97%,59%,14%,66%,14%,4%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 443,93%,93%,2%,48%,44%,7%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 444,65%,82%,10%,8%,87%,2%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 450,,,,27%,33%,27%,13%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 461,,,,6%,69%,19%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 462,83%,96%,4%,12%,50%,19%,8%,4%,3%,<1%,2%,<1%,<1%,<1%,<1%,2%
EDUC 463,89%,97%,7%,2%,78%,13%,3%,2%,1%,<1%,1%,<1%,<1%,<1%,<1%,1%
EDUC 471,,,,33%,59%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 480,,,,,,,,,,,,,,,,
EDUC 490,80%,96%,19%,6%,82%,7%,4%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 500,88%,75%,42%,19%,55%,19%,2%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 503,96%,87%,4%,<1%,51%,27%,22%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 504,55%,82%,21%,2%,78%,12%,4%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 510,77%,81%,17%,11%,70%,12%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 518,86%,84%,9%,<1%,96%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 524,88%,94%,,<1%,97%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 540,,,,,,,,,,,,,,,,
EDUC 541,,,,,,,,,,,,,,,,
EDUC 547,87%,97%,29%,17%,66%,8%,5%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 553,89%,100%,11%,<1%,45%,33%,4%,13%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 554,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 561,76%,87%,14%,<1%,55%,32%,8%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 570,76%,88%,4%,,,,,,,,,,,,,
EDUC 571,26%,53%,9%,,,,,,,,,,,,,
EDUC 580,93%,93%,6%,2%,89%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 591,100%,100%,14%,<1%,70%,21%,4%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 593,57%,82%,7%,19%,60%,18%,1%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 601,96%,100%,51%,18%,64%,11%,4%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,1%
EDUC 602,,,,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 604,88%,95%,11%,<1%,78%,16%,5%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 616,,,,,,,,,,,,,,,,
EDUC 622,71%,100%,43%,3%,60%,27%,11%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 638,75%,79%,10%,,,,,,,,,,,,,
EDUC 645,95%,96%,50%,2%,69%,17%,7%,3%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 646,,,,,,,,,,,,,,,,
EDUC 649,74%,99%,31%,11%,49%,30%,8%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 650,79%,90%,17%,,,,,,,,,,,,,
EDUC 652,90%,94%,18%,,,,,,,,,,,,,
EDUC 654,78%,83%,11%,14%,69%,10%,2%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 663,84%,88%,62%,5%,40%,39%,12%,4%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 665,100%,100%,78%,<1%,81%,14%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 690,94%,88%,25%,<1%,53%,35%,3%,6%,<1%,<1%,<1%,3%,<1%,<1%,<1%,<1%
EDUC 695,42%,79%,26%,8%,64%,21%,6%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 703,100%,100%,,,,,,,,,,,,,,
EDUC 707,96%,100%,15%,6%,73%,11%,5%,3%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 708,61%,92%,67%,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 712,100%,96%,64%,8%,52%,23%,13%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 717,97%,67%,12%,4%,61%,24%,8%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 737,97%,91%,24%,6%,72%,21%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 761,93%,90%,28%,<1%,32%,38%,17%,12%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 766,,,,,,,,,,,,,,,,
EDUC 769,85%,88%,29%,14%,62%,21%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 771,94%,88%,10%,8%,83%,8%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 777,37%,59%,2%,,,,,,,,,,,,,
EDUC 782,78%,100%,67%,,,,,,,,,,,,,
EDUC 790,74%,97%,28%,14%,57%,19%,7%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 792,85%,98%,63%,2%,72%,21%,3%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 793,64%,85%,49%,10%,54%,16%,6%,13%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 794,76%,91%,46%,13%,40%,20%,13%,13%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 799,95%,100%,73%,<1%,50%,25%,18%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 831,100%,100%,50%,,,,,,,,,,,,,
EDUC 864,94%,80%,,<1%,76%,19%,4%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 873,,,,26%,59%,8%,4%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EDUC 898,55%,79%,4%,,,,,,,,,,,,,
EDCURINS 421,,,,,,,,,,,,,,,,
EDCURINS 431,55%,100%,36%,,,,,,,,,,,,,
EDCURINS 455,81%,100%,11%,16%,69%,14%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 101,64%,91%,9%,14%,41%,12%,8%,12%,4%,3%,3%,1%,<1%,2%,<1%,2%
BIOLOGY 105,75%,90%,14%,4%,32%,22%,10%,17%,7%,2%,4%,1%,<1%,<1%,<1%,<1%
BIOLOGY 108,73%,95%,17%,15%,55%,9%,3%,9%,3%,3%,3%,<1%,1%,<1%,<1%,<1%
BIOLOGY 110,76%,90%,23%,7%,18%,25%,21%,12%,8%,4%,1%,1%,1%,1%,1%,<1%
BIOLOGY 120,77%,85%,2%,13%,65%,14%,4%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 121,67%,93%,5%,26%,48%,9%,6%,6%,2%,1%,1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 171,60%,86%,53%,1%,13%,15%,16%,20%,11%,8%,7%,3%,2%,1%,1%,1%
BIOLOGY 172,68%,90%,38%,2%,14%,12%,9%,18%,10%,7%,12%,5%,3%,4%,2%,2%
BIOLOGY 173,55%,76%,38%,3%,29%,24%,17%,16%,6%,2%,1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 192,,,,7%,29%,7%,7%,29%,21%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 201,,,,,,,,,,,,,,,,
BIOLOGY 205,76%,94%,25%,2%,14%,16%,17%,19%,10%,10%,7%,3%,1%,<1%,1%,<1%
BIOLOGY 207,69%,92%,33%,4%,23%,16%,15%,23%,8%,5%,4%,2%,<1%,<1%,<1%,<1%
BIOLOGY 212,81%,94%,,4%,34%,41%,12%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 222,51%,84%,53%,5%,24%,21%,17%,13%,8%,5%,3%,1%,<1%,<1%,<1%,<1%
BIOLOGY 225,81%,93%,35%,8%,15%,17%,14%,14%,11%,7%,6%,5%,2%,1%,1%,<1%
BIOLOGY 226,66%,83%,22%,9%,44%,30%,9%,4%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 281,60%,81%,31%,1%,20%,11%,14%,22%,8%,9%,8%,3%,2%,1%,<1%,2%
BIOLOGY 305,57%,85%,48%,2%,14%,12%,11%,18%,10%,8%,9%,6%,2%,4%,<1%,2%
BIOLOGY 525,,,,4%,38%,15%,23%,19%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CLIMATE 102,45%,81%,10%,7%,42%,16%,8%,13%,4%,4%,3%,1%,<1%,1%,<1%,1%
CLIMATE 105,51%,82%,8%,18%,49%,17%,7%,4%,2%,1%,1%,1%,<1%,<1%,<1%,<1%
CLIMATE 171,76%,90%,23%,7%,18%,25%,21%,12%,8%,4%,1%,1%,1%,1%,1%,<1%
CLIMATE 280,,,,9%,71%,14%,2%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CLIMATE 320,69%,93%,,2%,20%,37%,21%,9%,8%,1%,<1%,1%,<1%,<1%,<1%,<1%
CLIMATE 380,54%,89%,22%,16%,33%,33%,2%,4%,2%,4%,<1%,2%,<1%,<1%,2%,<1%
CLIMATE 381,,,,,,,,,,,,,,,,
CLIMATE 401,67%,60%,,<1%,33%,26%,23%,9%,7%,2%,<1%,<1%,<1%,<1%,<1%,<1%
CLIMATE 405,78%,95%,9%,14%,60%,10%,8%,5%,1%,1%,1%,<1%,1%,<1%,<1%,<1%
CLIMATE 410,,,,22%,26%,21%,14%,7%,4%,<1%,4%,1%,<1%,1%,<1%,<1%
CLIMATE 421,91%,100%,16%,17%,31%,35%,7%,6%,1%,3%,1%,<1%,<1%,<1%,<1%,<1%
CLIMATE 440,,,,<1%,17%,29%,29%,4%,4%,4%,<1%,12%,<1%,<1%,<1%,<1%
CLIMATE 451,83%,75%,75%,<1%,41%,18%,24%,18%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CLIMATE 462,,,,4%,35%,33%,9%,15%,<1%,2%,2%,<1%,<1%,<1%,<1%,<1%
CLIMATE 466,81%,100%,60%,,,,,,,,,,,,,
CLIMATE 473,94%,100%,,<1%,67%,19%,3%,11%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CLIMATE 501,,,,,,,,,,,,,,,,
CLIMATE 524,,,,,,,,,,,,,,,,
CLIMATE 530,,,,26%,68%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CLIMATE 551,62%,95%,50%,8%,34%,28%,15%,12%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CLIMATE 591,,,,,,,,,,,,,,,,
CLIMATE 747,46%,100%,45%,,,,,,,,,,,,,
CLIMATE 749,56%,86%,,,,,,,,,,,,,,
EARTH 100,46%,,8%,43%,19%,14%,8%,4%,3%,2%,2%,1%,1%,<1%,<1%,1%
EARTH 103,60%,92%,6%,30%,16%,12%,9%,8%,7%,5%,3%,3%,2%,2%,1%,3%
EARTH 104,35%,79%,11%,18%,20%,22%,15%,10%,7%,3%,2%,1%,1%,1%,<1%,<1%
EARTH 105,32%,57%,2%,8%,27%,12%,12%,21%,4%,4%,8%,1%,<1%,1%,<1%,1%
EARTH 107,46%,83%,5%,3%,34%,19%,8%,15%,7%,5%,5%,1%,1%,1%,<1%,<1%
EARTH 110,44%,78%,3%,33%,29%,18%,7%,6%,2%,1%,1%,1%,<1%,<1%,<1%,1%
EARTH 113,58%,91%,3%,16%,27%,14%,9%,10%,7%,5%,5%,4%,2%,<1%,<1%,1%
EARTH 114,55%,89%,7%,24%,35%,14%,7%,8%,4%,2%,2%,1%,1%,<1%,<1%,1%
EARTH 118,53%,89%,7%,15%,33%,30%,13%,6%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
EARTH 119,59%,90%,6%,9%,16%,20%,17%,16%,9%,5%,5%,2%,<1%,<1%,<1%,<1%
EARTH 120,65%,90%,7%,10%,28%,19%,15%,15%,7%,2%,2%,1%,<1%,<1%,<1%,<1%
EARTH 122,45%,81%,10%,7%,42%,16%,8%,13%,4%,4%,3%,1%,<1%,1%,<1%,1%
EARTH 131,,,,12%,38%,<1%,12%,25%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 141,,,,28%,39%,22%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,6%
EARTH 146,66%,100%,,12%,59%,9%,12%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,2%
EARTH 147,68%,78%,3%,10%,56%,27%,4%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 148,67%,100%,,7%,63%,18%,7%,4%,1%,<1%,<1%,<1%,<1%,<1%,<1%,1%
EARTH 151,46%,82%,3%,33%,35%,17%,7%,7%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 154,67%,92%,6%,<1%,60%,30%,6%,2%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
EARTH 156,79%,98%,1%,47%,23%,13%,8%,4%,3%,1%,<1%,1%,<1%,<1%,<1%,<1%
EARTH 158,60%,90%,30%,41%,44%,3%,6%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 171,76%,90%,23%,7%,18%,25%,21%,12%,8%,4%,1%,1%,1%,1%,1%,<1%
EARTH 201,60%,93%,5%,23%,32%,21%,13%,8%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 206,27%,,11%,35%,22%,16%,14%,6%,3%,1%,1%,<1%,<1%,<1%,<1%,<1%
EARTH 219,73%,93%,4%,18%,31%,22%,10%,11%,3%,2%,<1%,<1%,1%,<1%,<1%,<1%
EARTH 222,51%,88%,6%,9%,25%,25%,14%,10%,8%,4%,2%,2%,<1%,<1%,<1%,<1%
EARTH 223,54%,83%,17%,6%,60%,23%,5%,2%,2%,1%,1%,<1%,<1%,<1%,<1%,<1%
EARTH 255,42%,84%,8%,6%,21%,33%,16%,11%,8%,5%,<1%,1%,<1%,<1%,<1%,<1%
EARTH 262,58%,88%,15%,5%,24%,21%,18%,19%,5%,2%,2%,2%,<1%,2%,<1%,2%
EARTH 305,67%,94%,30%,8%,22%,16%,22%,16%,6%,4%,3%,2%,<1%,<1%,<1%,<1%
EARTH 309,89%,100%,29%,5%,38%,18%,18%,10%,4%,2%,2%,1%,<1%,<1%,<1%,<1%
EARTH 313,77%,93%,19%,4%,15%,20%,15%,18%,14%,9%,3%,1%,1%,<1%,<1%,<1%
EARTH 315,77%,95%,39%,4%,23%,26%,15%,24%,4%,1%,1%,<1%,<1%,1%,1%,1%
EARTH 320,69%,93%,,2%,20%,37%,21%,9%,8%,1%,<1%,1%,<1%,<1%,<1%,<1%
EARTH 333,61%,96%,41%,17%,36%,27%,10%,3%,4%,<1%,1%,<1%,2%,<1%,<1%,1%
EARTH 370,81%,100%,8%,35%,20%,12%,10%,12%,8%,2%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 380,75%,88%,40%,1%,20%,30%,16%,17%,6%,4%,3%,2%,<1%,<1%,<1%,1%
EARTH 381,54%,89%,22%,16%,33%,33%,2%,4%,2%,4%,<1%,2%,<1%,<1%,2%,<1%
EARTH 401,67%,60%,,<1%,33%,26%,23%,9%,7%,2%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 408,95%,93%,24%,11%,54%,18%,5%,2%,4%,2%,2%,<1%,<1%,1%,<1%,1%
EARTH 409,,,,22%,26%,21%,14%,7%,4%,<1%,4%,1%,<1%,1%,<1%,<1%
EARTH 413,83%,90%,,7%,43%,20%,14%,9%,2%,2%,2%,<1%,<1%,<1%,<1%,<1%
EARTH 417,67%,83%,4%,48%,17%,17%,8%,6%,<1%,3%,<1%,<1%,<1%,1%,<1%,<1%
EARTH 421,91%,100%,16%,17%,31%,35%,7%,6%,1%,3%,1%,<1%,<1%,<1%,<1%,<1%
EARTH 422,79%,100%,60%,11%,23%,29%,6%,23%,<1%,3%,3%,3%,<1%,<1%,<1%,<1%
EARTH 435,,,,53%,47%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 436,,,,6%,94%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 442,83%,92%,56%,<1%,64%,10%,10%,14%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 444,,,,,,,,,,,,,,,,
EARTH 454,,,,<1%,17%,29%,29%,4%,4%,4%,<1%,12%,<1%,<1%,<1%,<1%
EARTH 457,83%,75%,75%,<1%,41%,18%,24%,18%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 468,82%,90%,47%,20%,42%,20%,7%,5%,2%,2%,<1%,1%,<1%,<1%,<1%,1%
EARTH 477,90%,90%,9%,4%,24%,22%,20%,16%,5%,9%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 478,89%,95%,44%,16%,26%,18%,21%,8%,5%,4%,<1%,<1%,<1%,1%,<1%,1%
EARTH 496,100%,,,,,,,,,,,,,,,
EARTH 529,71%,,,,,,,,,,,,,,,
EARTH 531,38%,80%,24%,<1%,<1%,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 532,,,,,,,,,,,,,,,,
EARTH 534,100%,,43%,,,,,,,,,,,,,
EARTH 535,,,,,,,,,,,,,,,,
EARTH 536,,,,<1%,95%,<1%,<1%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 543,,,,,,,,,,,,,,,,
EARTH 580,100%,100%,27%,17%,54%,25%,<1%,<1%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARTH 582,,,,,,,,,,,,,,,,
EARTH 596,83%,100%,17%,,,,,,,,,,,,,
ENVIRON 101,64%,91%,9%,14%,41%,12%,8%,12%,4%,3%,3%,1%,<1%,2%,<1%,2%
ENVIRON 102,45%,81%,10%,7%,42%,16%,8%,13%,4%,4%,3%,1%,<1%,1%,<1%,1%
ENVIRON 105,51%,82%,8%,18%,49%,17%,7%,4%,2%,1%,1%,1%,<1%,<1%,<1%,<1%
ENVIRON 110,76%,90%,23%,7%,18%,25%,21%,12%,8%,4%,1%,1%,1%,1%,1%,<1%
ENVIRON 118,53%,89%,7%,15%,33%,30%,13%,6%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
ENVIRON 119,59%,90%,6%,9%,16%,20%,17%,16%,9%,5%,5%,2%,<1%,<1%,<1%,<1%
ENVIRON 120,65%,90%,7%,10%,28%,19%,15%,15%,7%,2%,2%,1%,<1%,<1%,<1%,<1%
ENVIRON 131,,,,12%,38%,<1%,12%,25%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENVIRON 139,81%,98%,10%,15%,58%,17%,6%,3%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
ENVIRON 152,,,,,,,,,,,,,,,,
ENVIRON 155,86%,81%,15%,10%,70%,17%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENVIRON 167,58%,84%,8%,21%,46%,19%,7%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENVIRON 201,65%,89%,6%,5%,35%,27%,14%,10%,4%,1%,2%,1%,<1%,<1%,<1%,<1%
ENVIRON 204,,,,<1%,39%,32%,18%,7%,<1%,4%,<1%,<1%,<1%,<1%,<1%,<1%
ENVIRON 206,27%,,11%,35%,22%,16%,14%,6%,3%,1%,1%,<1%,<1%,<1%,<1%,<1%
ENVIRON 207,80%,88%,7%,6%,38%,26%,9%,14%,3%,<1%,2%,1%,<1%,1%,<1%,<1%
ENVIRON 219,,,,25%,41%,16%,9%,2%,<1%,<1%,2%,2%,<1%,<1%,2%,<1%
ENVIRON 222,66%,88%,43%,9%,39%,26%,14%,8%,2%,1%,<1%,<1%,<1%,<1%,<1%,1%
ENVIRON 229,73%,93%,4%,18%,31%,22%,10%,11%,3%,2%,<1%,<1%,1%,<1%,<1%,<1%
ENVIRON 232,51%,88%,6%,9%,25%,25%,14%,10%,8%,4%,2%,2%,<1%,<1%,<1%,<1%
